Loca Time: 2017-6-5 21:46:32, Ticker Id: 1002, Field: 66, Price: 49.54
Loca Time: 2017-6-5 21:46:32, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:46:34, Ticker Id: 1001, Field: 66, Price: 47.4
Loca Time: 2017-6-5 21:46:34, Ticker Id: 1001, Field: 67, Price: 47.41
Loca Time: 2017-6-5 21:46:37, Ticker Id: 1001, Field: 68, Price: 47.41
Loca Time: 2017-6-5 21:46:38, Ticker Id: 1002, Field: 66, Price: 49.55
Loca Time: 2017-6-5 21:46:38, Ticker Id: 1002, Field: 67, Price: 49.57
Loca Time: 2017-6-5 21:46:39, Ticker Id: 1001, Field: 67, Price: 47.42
Loca Time: 2017-6-5 21:46:43, Ticker Id: 1001, Field: 67, Price: 47.41
Loca Time: 2017-6-5 21:46:43, Ticker Id: 1002, Field: 66, Price: 49.54
Loca Time: 2017-6-5 21:46:43, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:46:44, Ticker Id: 1001, Field: 67, Price: 47.42
Loca Time: 2017-6-5 21:46:49, Ticker Id: 1001, Field: 68, Price: 47.38
Loca Time: 2017-6-5 21:46:49, Ticker Id: 1001, Field: 66, Price: 47.38
Loca Time: 2017-6-5 21:46:49, Ticker Id: 1001, Field: 67, Price: 47.39
Loca Time: 2017-6-5 21:46:49, Ticker Id: 1002, Field: 68, Price: 49.54
Loca Time: 2017-6-5 21:46:49, Ticker Id: 1002, Field: 66, Price: 49.52
Loca Time: 2017-6-5 21:46:49, Ticker Id: 1002, Field: 67, Price: 49.55
Loca Time: 2017-6-5 21:46:49, Ticker Id: 1002, Field: 73, Price: 49.54
Loca Time: 2017-6-5 21:46:53, Ticker Id: 1001, Field: 68, Price: 47.4
Loca Time: 2017-6-5 21:46:54, Ticker Id: 1001, Field: 66, Price: 47.39
Loca Time: 2017-6-5 21:46:54, Ticker Id: 1001, Field: 67, Price: 47.41
Loca Time: 2017-6-5 21:46:54, Ticker Id: 1002, Field: 66, Price: 49.54
Loca Time: 2017-6-5 21:46:54, Ticker Id: 1002, Field: 67, Price: 49.57
Loca Time: 2017-6-5 21:46:59, Ticker Id: 1001, Field: 67, Price: 47.4
Loca Time: 2017-6-5 21:46:59, Ticker Id: 1002, Field: 66, Price: 49.53
Loca Time: 2017-6-5 21:46:59, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:47:7, Ticker Id: 1002, Field: 66, Price: 49.52
Loca Time: 2017-6-5 21:47:8, Ticker Id: 1001, Field: 66, Price: 47.38
Loca Time: 2017-6-5 21:47:8, Ticker Id: 1001, Field: 67, Price: 47.39
Loca Time: 2017-6-5 21:47:8, Ticker Id: 1002, Field: 67, Price: 49.55
Loca Time: 2017-6-5 21:47:13, Ticker Id: 1001, Field: 67, Price: 47.4
Loca Time: 2017-6-5 21:47:13, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:47:18, Ticker Id: 1002, Field: 66, Price: 49.53
Loca Time: 2017-6-5 21:47:24, Ticker Id: 1001, Field: 66, Price: 47.39
Loca Time: 2017-6-5 21:47:24, Ticker Id: 1002, Field: 66, Price: 49.54
Loca Time: 2017-6-5 21:47:34, Ticker Id: 1002, Field: 67, Price: 49.57
Loca Time: 2017-6-5 21:47:36, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:47:38, Ticker Id: 1002, Field: 67, Price: 49.57
Loca Time: 2017-6-5 21:47:49, Ticker Id: 1001, Field: 66, Price: 47.38
Loca Time: 2017-6-5 21:47:49, Ticker Id: 1001, Field: 67, Price: 47.39
Loca Time: 2017-6-5 21:47:49, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:47:54, Ticker Id: 1002, Field: 66, Price: 49.53
Loca Time: 2017-6-5 21:47:54, Ticker Id: 1002, Field: 67, Price: 49.55
Loca Time: 2017-6-5 21:47:58, Ticker Id: 1001, Field: 73, Price: 47.36
Loca Time: 2017-6-5 21:47:59, Ticker Id: 1001, Field: 68, Price: 47.33
Loca Time: 2017-6-5 21:47:59, Ticker Id: 1001, Field: 66, Price: 47.33
Loca Time: 2017-6-5 21:47:59, Ticker Id: 1001, Field: 67, Price: 47.35
Loca Time: 2017-6-5 21:47:59, Ticker Id: 1002, Field: 68, Price: 49.5
Loca Time: 2017-6-5 21:47:59, Ticker Id: 1002, Field: 66, Price: 49.49
Loca Time: 2017-6-5 21:47:59, Ticker Id: 1002, Field: 67, Price: 49.51
Loca Time: 2017-6-5 21:47:59, Ticker Id: 1002, Field: 73, Price: 49.48
Loca Time: 2017-6-5 21:48:0, Ticker Id: 1001, Field: 73, Price: 47.33
Loca Time: 2017-6-5 21:48:1, Ticker Id: 1001, Field: 68, Price: 47.34
Loca Time: 2017-6-5 21:48:4, Ticker Id: 1001, Field: 67, Price: 47.34
Loca Time: 2017-6-5 21:48:4, Ticker Id: 1002, Field: 66, Price: 49.48
Loca Time: 2017-6-5 21:48:4, Ticker Id: 1002, Field: 67, Price: 49.5
